P00027739T0000|0 28|Serum gamma glutamyltransferase
P01652755A1492|155 158|IL-6
P10556028A0292|155 158|BD-2
P11241166A0677|155 158|STAT
P00453780A0430|155 157|IgA
P10915728A0216|155 157|IFN
P07576307A1654|155 157|ENK
P10542269A0000|156 183|beta-amyloid precursor protein
P02022188A0112|156 180|high mobility group proteins
P08970984A0765|156 179|tumor necrosis factor alpha
P01542667A0125|156 177|IFN-gamma-encoding gene
P08921387A1182|156 171|C-terminal domain
P08065901A0997|156 167|KRAB-A domain
P10469174A0678|156 162|MBF1CTD
P01627828A0475|156 162|SmN gene
P07797077A0842|156 160|IRF-1
P07519481A1275|156 160|c-kit
P07537851A0891|156 160|IRF-1
P10861906A0999|156 159|IME2
P10721698A1195|156 159|CSTB
P09252406A0511|156 159|SHP2
P07504171A0715|156 158|Src
P11559789A0314|156 158|SF2
P09227799A0254|156 158|SEA
P10212278A0387|157 186|mitogen-activated protein kinase
P01863887A0174|157 170|erythropoietin
P10732669A1336|157 170|HD-Zip proteins
P02597549A0964|157 167|prothrombin
P09461594A0000|157 166|PLC-gamma2
P01657969A1420|157 166|calmodulin
P09189783A0000|157 163|insulin
P10778757A0000|157 161|INCW2
P09064659A1055|157 160|UPF1
P03297181A0127|157 160|SR-F
P11095248A0423|157 160|gp27
P09678837A0736|157 159|IgE
P07933095A0000|157 159|Sp1
P11369700A0616|158 179|luciferase reporter gene
P09837907A0857|158 178|c-Jun N-terminal kinase
P08584035A0740|158 177|DNA-protein complexes
P10367646A0569|158 171|serum globulins
P01320255A0795|158 164|human L1
P02318208A0817|158 163|Ad2MLP
P10585453A1029|158 163|hGH LCR
P07981246A0112|158 162|c-fos
P08386318A1102|158 162|Raf-1
P11282395A0530|158 162|Rad50
P06091914A0000|158 162|int-1
P09535082A0537|158 161|PrfA
P08794339A1162|158 161|CREB
P09148935A0805|158 160|FAK
P10704499A0682|158 160|PKC
P01714902A0221|158 160|TCR
P03507689A0000|159 181|bacteriophage T7 promoter
P08280925A0261|159 179|IgG anti-KLH antibodies
P09151828A0919|159 177|C-terminal region III
P02176822A0000|159 174|glycogen synthase
P10727515A1202|159 172|pertussis toxin
P08152800A0709|159 169|Ets proteins
P08294429A0153|159 169|hGH promoter
P02324104A1195|159 168|CeCAT alpha
P08188603A0230|159 163|CPS-A
P07579695A0336|159 163|CBF3B
P10767560A0105|159 161|IFN
P03102289A0786|159 161|hCG
P03690262A0428|159 160|T1
P11133830A0174|160 178|proto-oncogene c-Cbl
P02164588A0266|160 173|HN glycoprotein
P09618150A0127|160 167|UCP1 mRNA
P09388199A0948|160 163|FadR
P10601344A1653|160 163|Rac1
P09111004A0732|160 162|L12
P09504423A0114|160 162|GST
P09540062A0755|160 162|CAT
P07589069A1245|160 162|CD6
P08810278A0682|160 162|BCR
P08083220A0988|161 196|serum response factor-DNA binary complex
P09482902A0942|161 181|retinoblastoma protein
P09442072A0716|161 174|murine fVII gene
P08370119A1521|161 174|luciferase cDNA
P08663219A0246|161 171|E-box region
P10744749A0315|161 171|bHLH factors
P11556809A2085|161 170|P450 enzyme
P10330159A1258|161 167|Jun-Fos
P08665853A0228|161 166|ErbB-2
P08940132A1120|161 165|CPP32
P11145566A0000|161 165|HDL-R
P09447994A0000|161 165|c-fos
P07951410A0647|161 164|DP-1
P01425921A1286|161 164|V1J1
P09422727A0196|161 164|CREB
P02949170A0184|161 164|SHBG
P09325278A0458|161 164|mta1
P09584194A1305|161 164|HEF1
P08230445A0000|161 163|Gag
P08666404A0311|161 163|PP5
P09111367A1098|161 163|p53
P11250942A0626|161 163|VDR
P11145887A1393|161 163|Tax
P09144165A0614|162 189|Rel transcription factor family
P10501965A0879|162 185|G-protein coupled receptor
P11521191A0000|162 182|retinoblastoma protein
P08722011A0103|162 180|mammalian protein L12
P09011745T0000|162 179|mammalian receptors
P02423533A1314|162 178|nerve growth factor
P10490639A0000|162 175|cyclin partners
P09395525A0395|162 175|IGF-I promoter 1
P07605990A1110|162 174|PEBP2 isoforms
P11181531A0464|162 174|interleukin-1
P09346935A0927|162 174|RNA polymerase
P07720572A1584|162 173|myoD enhancer
P11368363A1103|162 171|rat protein
P10648020A0151|162 171|fibrinogen
P11310937A0548|162 170|TNF-alpha
P09710591A0981|162 170|MAP kinase
P08776735A0000|162 170|rLHR-t631
P08428940A1763|162 169|merR mRNA
P07797077A0842|162 166|IRF-2
P10454570A0846|162 166|ATF-2
P09024793A1325|162 166|BMP-2
P10319327A1237|162 164|E47
P09927570A0507|163 186|E1B 19 kDa and 55 kDa proteins
P01765375A0290|163 180|clathrin heavy chain
P10717612A0000|163 175|interleukin-2
P09162097A0776|163 172|L-selectin
P10628971A0824|163 166|VPS1
P09171239A1118|163 166|AF-2
P07958915A1507|164 197|calmodulin-dependent protein kinases
P01699944A1538|164 173|c-fos genes
P11243306A0961|164 173|anti-oxLDL
P10523640A0367|164 168|Stat3
P10542237A0357|164 167|IL-6
P08550476A0610|164 167|EpiQ
P01431380A0244|164 167|SFGR
P11278819A0565|164 167|MOK2
P09235618A0000|164 166|IgG
P10704499A0682|164 166|MEK
P09817373A0000|164 166|NOS
P00627129A0944|165 191|alpha-and beta-adrenoceptors
P09657003T0000|165 178|virus-like RNAs
P08035796A0890|165 174|eIF-2 alpha
P11023832A1038|165 173|NF-kappaB
P09248639A0152|165 172|collagen
P10799590A0431|165 171|EBNA-3C
P07689154A0168|165 171|uPA mRNA
P08642313A0770|165 169|Bcl-3
P07487811A0000|165 169|PSE-2
P11504709A0981|165 168|MAPK
P10369418A0644|165 167|p50
P11145955A0189|166 195|mitogen-activated protein kinase
P07537736A0453|166 192|cytokine receptor superfamily
P09315631A1064|166 187|delta por1 single mutants
P10602507A0652|166 185|dominant-negative p53
P10860846A0480|166 180|HGF gene promoter
P03275867A0187|166 178|MAT alpha genes
P10607566A0880|166 177|beta-catenin
P09763470A1756|166 172|DBH gene
P08386318A1102|166 171|NF-IL6
P11280799A1025|166 170|PTHrP
P07588240A0000|166 170|CPP32
P10400757A1498|166 170|CXCR4
P09426068A0826|166 170|c-myc
P08647086A0720|166 169|Cdk2
P08637711A1121|166 169|IL-6
P08264582A0750|166 169|LIFR
P11106428A0635|166 168|GST
P10688661A0237|167 186|neuron-specific genes
P01710768A1172|167 181|gamma interferon
P01874195A0139|167 180|tyrosine kinase
P02833049A1041|167 176|RD-114 mRNA
P07685874A0258|167 173|amylase
P08702936A0168|167 173|CD4 cDNA
P07609079A0387|167 171|TFIIB
P07629196A0274|167 169|JNK
P10713176A0422|167 168|Rb
P01572549A0000|168 188|growth factor receptors
P08075070A1632|168 186|DNA-binding proteins
P01917962A0152|168 179|SV40 promoter
P08522530A1342|168 177|sigma 54 box
P08410097A0356|168 177|fibrinogen
P10894149T0000|168 176|ERRalpha1
P10440923A0684|168 174|cyclin E
P02500432A1416|168 174|CAT gene
P09694869A0932|168 172|Stat3
P09000108A0330|168 171|CG30
P11278290A1220|168 170|Agc
P10617126A1005|168 170|CA3
P10976413A0514|168 170|FSH
P06373855A0000|169 184|immunoperoxidase
P02233715A0914|169 179|wild-type GR
P11003653A0198|169 178|PYR complex
P07838156A0789|169 176|ROR alpha
P10488148A1267|169 176|HIV-1 LTR
P08901135A1132|169 172|NIT2
P08223613A0519|169 172|TPS3
P09040011A1316|169 171|Ras
P11007954A0170|169 171|Ras
P11504709A0981|170 204|extracellular signal-regulated kinase
P11517190A0352|170 188|E-responsive element
P07740487A0167|170 179|Fibrinogen
P02038326A0538|170 179|eIF-2 alpha
P09765411A0991|170 178|ubiquitin
P10657658A0165|170 178|NF-kappa B
P09545353A1071|170 178|TNF-alpha
P03050147A1520|170 177|C protein
P07563090A0124|170 176|pol gene
P11238447A0524|170 174|nup62
P09235618A0000|170 172|IgM
P07758459A1277|171 198|ABF1 consensus binding sequence
P08979089A1197|171 186|Ig kappa enhancers
P09182707A0254|171 178|paxillin
P10593939A0747|171 178|SR family
P08208540A1114|171 178|NFKB2 p52
P09234713A0754|171 177|Jdelta1
P01652755A1492|171 175|c-fos
P02758382A0478|171 174|SHBG
P07629196A0274|171 174|SAPK
P09765261A0000|171 174|CREB
P11080796A1277|171 173|IKK
P11333268A1521|171 173|Ras
P03102289A0786|171 172|E2
P03428274A0000|172 200|nuclear factor I recognition site
P11207282A0729|172 189|IgH gene transcripts
P03192537A0370|172 183|human protein
P08838314A0129|172 177|AVPR1A
P01970560A1024|172 175|aroF
P08566754A0783|172 174|SF2
P11292839A0531|172 174|TBP
P07080496A0097|172 174|LDL
P08972182A0527|172 174|ICE
P07835886A0894|173 202|corticosteroid-binding globulin
P09234717A0000|173 200|SH2 domain-containing proteins
P08703010A0905|173 193|E-box-binding proteins
P02123029A0478|173 186|mu-like isotype
P08605302A1770|173 184|CatA promoter
P10601344A1653|173 177|Cdc42
P08760889A0531|173 176|H2A2
P11208814A0673|173 176|CKII
P01660486A1756|173 175|PKC
P09372924A0758|173 175|XPC
P09294422A1376|173 175|POR
P09799362A1463|174 205|mitochondrial RNA polymerase mutant
P10455183A0930|174 190|human U6 snRNA genes
P07877619A1284|174 183|zif268 gene
P10482620A1009|174 180|MMTV LTR
P02820128A1670|174 180|insulin
P01536575A1213|174 179|CYPIA1
P01982997A1104|174 178|c-Fos
P07988731A0002|174 178|G-box
P11069307A0546|174 177|DED1
P08349104A0450|174 177|lacZ
P07990136A1124|175 205|mammalian polIII ternary complexes
P07883193A0000|175 198|glutathione S-transferase
P09617807A0929|175 192|Gypsy-like elements
P10080875A0772|175 191|NF-kappaB proteins
P09451016A1037|175 188|endogenous gene
P08093642A0600|175 185|D10S94 locus
P09556573A1062|175 183|PPARalpha
P10464310A0218|175 180|FGFR-1
P01842498A0000|175 177|PHA
P07799925A0526|175 177|SH2
P01321280A0494|175 176|E7
P10938135A0259|176 204|epidermal growth factor receptor
P08387507A1015|176 197|dominant-acting factors
P11084334A0590|176 193|heat-shock proteins
P09556861A1018|176 190|tRNA-synthetase
P10856298A0798|176 190|wild-type enzyme
P09259328A0440|176 185|luciferase
P11238916A0838|176 183|paxillin
P07784079A1018|176 183|basic FGF
P02163382A0169|176 179|lacZ
P09834070A0793|176 179|CD19
P08530384A0559|176 179|Oct2
P11325944A0511|176 179|uhpT
P08710371A0000|176 178|p53
P11333268A1521|176 178|Sos
P08986214A0000|176 178|HGF
P02689439A0402|177 186|rat Yb2 gene
P07797077A0842|177 186|ISGF3 gamma
P09872832A1262|177 185|IFN-gamma
P08813766A0605|177 181|Cre-A
P02555703T0000|177 181|v-abl
P10683244A0939|177 180|NBF2
P09259052A0568|177 180|JunD
P09040011A1316|177 180|MAPK
P01970560A1024|177 180|lacZ
P11376007A0584|177 180|PP2A
P08195216A1022|177 180|TRP3
P10454570A0846|177 180|JunD
P10717612A0000|177 180|IL-2
P09647240A0000|177 179|p53
P10574913A1108|177 179|ERK
P09057648A0422|177 179|CAT
P07630687A0010|178 192|antithrombin III
P09334330A0252|178 190|mammalian DPC4
P07537851A0000|178 186|TNF-alpha
P08808120A0774|178 185|ferritin
P08622668A1155|178 185|pre-mRNA
P07592730A0204|178 183|TSG-14
P02123467A0811|178 180|Sp1
P08760286A0696|178 180|Ras
P08086450A0467|178 180|Sp1
P09584194A1305|178 180|p55
P09238860A1974|179 192|protein kinase C
P09010223A1850|179 186|Egr1 gene
P10597317A1156|179 181|JNK
P07563076A0766|179 181|bi4
P08584035A0740|179 180|R1
P11254713A1029|180 187|IL-2 gene
P10413607A0085|180 187|integrin
P11056007A0224|180 183|rMTM
P09388198A1396|180 183|rhoB
P08125949A1162|180 182|L12
P02743981A0347|181 206|ORF monocistronic transcript
P02536096A0327|181 203|thymidine kinase promoter
P08254738A0428|181 197|wild-type T antigen
P09335298A2129|181 196|ParE toxin protein
P11160860A0662|181 192|IkappaBalpha
P01735721A0185|181 184|tyrZ
P08798420A0207|181 184|pp60
P08183915A0000|181 184|p105
P08388543A1263|181 183|Ras
P10747053A1102|181 183|SBF
P07509449A0000|181 183|SH2
P11593394A0000|181 183|p15
P10694210A0385|181 183|H1R
P02686749A0000|182 202|retinol binding protein
P03119227A0079|182 195|tyrosine kinase
P09680994A0169|182 193|Z. mays r genes
P01982997A1104|182 191|Jun-B mRNAs
P08148463A0000|182 190|multi-CSF
P08624445A0257|182 189|Waxy gene
P11207261A1421|182 186|SHP-1
P08652081A1953|182 185|IL-4
P09584194A1305|182 185|HEF1
P02022188A0112|182 185|HMGs
P08647086A0720|182 185|Cdk2
P08086450A0467|182 185|AP-2
P03714348A0833|182 184|IgG
P11238586A0000|182 184|MHC
P11297545A0948|182 184|hGH
P07807002A0500|182 184|IgE
P07588633A0362|182 184|Mos
P08798443A0660|183 209|mim-1A Myb-responsive element
P11408604A1440|183 204|receptor tyrosine kinase
P07537267A2094|183 204|fetal gamma-globin genes
P01713213A0000|183 203|protein tyrosine kinase
P11145743A0170|183 201|deiodinase promoters
P08707846A2308|183 198|a-factor receptor
P01633816A0667|183 192|S1 nuclease
P09786932A1042|183 190|IFNA gene
P10570996A1213|183 189|insulin
P03263357A0112|183 186|IL-1
P10498616A0157|183 186|IL-4
P09369451A0693|183 186|OP-1
P08861955A0927|183 185|Ran
P10704499A0682|183 185|PKC
P02845654A0510|183 184|P1
P08334989A0070|184 205|luciferase reporter gene
P07474124A1360|184 196|F glycoprotein
P07623844A0639|184 195|wild-type p53
P09725854A1060|184 189|orf107
P09398332A0732|184 189|CTLA-4
P07516466A1054|184 187|CREB
P09287352A0930|184 186|MEK
P11007954A0170|184 186|Sos
P09575143A1189|184 186|TCR
P01917943A0621b|185 216|chloramphenicol acetyltransferase
P01917943A0621a|185 216|chloramphenicol acetyltransferase
P10721704X0000|185 203|RNA-binding proteins
P10760109A1050|185 194|hemoglobin
P07440430A1074|185 194|hemoglobin
P06407348A0516|185 189|beta2
P09581834A2578|185 189|CDKIs
P09652737A1244|185 188|AP-1
P08636031A1413|185 187|Fur
P07537851A0891|185 187|p50
P09305944A0621|185 187|Ran
P03335651A0000|185 186|T1
P11314030A1264|186 204|C-terminal SH3 domain
P01454518A0336|186 199|human ERCC3 cDNA
P08327488A0839|186 197|wild-type p70
P10454561A0594|186 194|NF-kappaB
P09566871A0343|186 192|Ty1 cDNA
P09524222A0769|186 191|MARCKS
P10082573A1015|186 191|DNase I
P11278583A0873|186 189|Grb2
P09418905A1396|186 188|PKC
P11139605A0811|186 188|Sp1
P09971776A0838|187 202|C-terminal region
P11525640A0560|187 200|GADD45 promoter
P02541251A1327|187 197|human T1 gene
P08626493A1468|187 197|wild type E1A
P02556264A0278|187 197|kappa B motif
P00846559A0000|187 194|T-2 toxin
P08376796A0172|187 193|insulin
P09651383A0967|187 191|HNF-4
P11238916A0838|187 190|Pyk2
P06327039A0743|187 190|CD25
P10805738A0799|187 190|MyoD
P10918572A1547|187 190|ErbB
P10490609A0413|187 189|ARS
P10942587A0981|187 188|Rb
P01985924A0554|188 200|pol II delta 4/7
P08207405A0372|188 197|HSP70 genes
P09649438A0182|188 193|P-TEFb
P10498616A1280|188 193|p21 Ras
P06094591A0000|188 191|gp37
P10366503A1506|188 191|gp17
P10212278A0387|188 191|MAPK
P07910946A0323|188 191|IL-2
P11373277A0812|188 190|E1A
P08835969A0000|189 199|beta subunit
P08637006A0000|189 195|ATF site
P11203702A1307|189 194|Xlim-1
P10567430A0785|189 192|GRK6
P10400757A1498|189 191|Env
P01413984A0737|190 215|tissue plasminogen activator
P01309593A1092|190 210|ribosomal protein genes
P09652737A1244|190 206|DNA binding complex
P09368190A1053|190 198|IFN-gamma
P10702285A0855|190 196|insulin
P10369418A0644|190 194|c-Rel
P07510635A0479|190 194|Pol II
P09259052A0568|190 193|cJun
P09233772A0136|190 193|RCC1
P09723896A0000|190 192|RXR
P09990315A0205|190 192|PKC
P11292839A0531|190 192|TBP
P03296212A0603|190 192|IFN
P03507689A0000|191 212|beta-galactosidase gene
P09599897A0000|191 207|C-reactive protein
P11369700A0616|191 205|GL alpha promoter
P08139017A1465|191 200|Tpl-1 locus
P10026824A0309|191 200|V2 receptor
P00830568A0000|191 197|STG-BII
P08643578A0000|191 194|lacZ
P07816619A0872|191 193|Dr1
P09305755A0540|191 193|AP1
P10506143A0610|192 214|small GTP binding proteins
P07936640A0900|192 205|endogenous gene
P09211913A0000|192 205|erythropoietin
P09084174A0667|192 202|Asd proteins
P09192842A0988|192 200|ETS factor
P11212327A1564|192 199|caveolin
P08580083A0259|192 197|HIV LTR
P08604338A0885|192 196|FLI-1
P08441411A1260|192 195|IL-2
P08406004A0691|192 195|PU.1
P08627649A0734|192 194|Sp1
P09884747A0477|192 194|IgE
P11538437A0568|192 193|N2
P11278870A0123|193 215|transcription factor Cuf1
P11013079A0927|193 204|SV40 promoter
P08798443A1218|193 197|c-Myb
P10521509A0000|193 197|RGS11
P08794339A1162|193 196|CREB
P01918070A0281|193 195|T3R
P10965135A0735|193 195|MKK
P10965905A1618|194 202|MAP kinase
P07862150A0429|194 201|TGF-beta
P03403480A0299|194 201|collagen
P01909027A0922|194 198|HNF-3
P09719636A1134|194 197|gp17
P10713176A0422|194 196|E2F
P09254678A0106|194 196|MBP
P11593394A0000|194 196|p27
P09083291A1378|194 196|pRb
P07665567A0495|195 214|transcription factors
P10727433A0560|195 206|oncogenic ras
P01716292A0000|195 203|H-2E alpha
P11024300A1579|195 203|TIG-1 mRNA
P10091594A0284|195 203|anti-K159
P08760286A0696|195 201|GTPases
P08717391A0466|195 199|HBcAg
P08917435A0481|195 199|PAI-1
P08067123A0248|195 199|HBsAg
P08861955A0927|195 198|TC21
P07453919A0000|195 197|IgM
P01536153A0574|195 197|IgE
P09305755A0540|195 197|AP2
P11387950X0001|195 197|TNF
P01674662A0000|195 197|ARC
P09233772A0136|196 226|guanine nucleotide exchange factor
P11429702A0917|196 205|aFGF ligand
P11127200A1024|196 204|TGF-beta1
P02651487A0000|196 202|insulin
P11102458A0000|196 201|PKA RII
P08057421A1583|196 201|Cp site
P08533472A0777|196 200|ILF-2
P03985849A0221|196 198|IgA
P09339900A0939|197 204|cyclin D2
P08449978A0000|197 203|cyclins
P08756332A0000|197 203|Ral-GEF
P07528772A0616|197 202|ZAP-70
P07510635A0479|197 202|Pol III
P10564280A0140|197 201|Sam68
P11410664A0963|197 201|ref-1
P09524229A0000|197 201|lac-1
P11145955A0189|197 200|MAPK
P07720709A0755|197 199|AP1
P09119031A1036|198 217|wild-type sigma factor
P07744763A0514|198 202|HNF-4
P10359014A1077|198 201|MAPK
P08627649A0734|198 200|Sp3
P09677410A1059|198 200|p53
P10369418A0644|198 200|p65
P06993660A0000|198 200|AHR
P09765271A1108|199 238|insulin-like growth factor-binding protein 1
P07683375A0000|199 212|protein kinases
P08552092A1678|199 206|rep3 gene
P11560992A0000|199 202|JNKs
P11158337A0000|199 202|AP-1
P09949160A0600|199 201|Epo
P07038684A1050|199 201|p62
P09328824A0000|199 200|TR
P09333026A0851|200 220|epidermal growth factor
P10021350A0093|200 217|Wnt responsive genes
P03332022A1094|200 213|protein kinase C
P01380454A0451|200 208|NF-kappa B
P10765095A0308|200 202|PRL
P03149774A0173|201 212|GABA receptor
P01543909A0787|201 208|ferritin
P09099745A1446|201 207|cyclin E
P09422727A0196|201 205|ATF-2
P11012680A1020|201 204|ERK2
P08016102A1238|201 204|HO-1
P07628456A0000|201 203|PKR
P10413676A0595|201 203|FAK
P07453919A0000|201 203|IgG
P11150315A0226|202 219|DNA binding proteins
P07914192A0211|202 218|human HER2 promoter
P08792217A1407|202 211|TIMP-2 mRNA
P07609079A0387|202 204|Tat
P09488441A0615|202 204|Sp1
P09435056A0128|202 204|MBP
P11355576A1125|202 204|E2F
P02123877A1452|203 221|immediate-early gene
P07610052A1064|203 216|rat APP promoter
P07737944A0000|203 216|erythropoietin
P08955402A0288|203 213|Hol1 protein
P01310154A0879|203 212|FBR protein
P09045919A1250|203 210|IgH locus
P08637711A1121|203 209|JRE-IL6
P10517672A1417|203 205|CAT
P08395681A0388|204 224|retinoblastoma protein
P09328824A0000|204 224|retinoic acid receptors
P09151152A0174|204 219|serum lipoprotein
P09243505A1194|204 213|MADS domain
P09030781A0734|204 211|cyclin D2
P11532856A1175|204 206|JNK
P10229084A0000|204 206|Fyn
P01409643A0618|205 231|TATA element modulatory factor
P10555285A1065|205 217|globin cluster
P09564860A2315|205 213|Gs protein
P08940132A1120|205 209|CPP32
P11118438A0411|205 208|Pin1
P10454570A0846|205 208|IL-1
P09535082A0537|205 208|PrfA
P01970560A1024|206 224|E. coli TyrR repressor
P07622521A0418|206 215|G beta gamma
P01847464A0856|206 210|c-myc
P08709245A1521|206 210|HDAgs
P07563090A0124|206 209|PPT2
P11238105A0959|206 209|CD86
P09057648A0422|206 208|CAT
P11054565A0654|207 215|p190 genes
P07796935A0284|207 210|TREs
P10549354A1782|207 209|APC
P08898866A0458|208 223|N-terminal domain
P09402139A1121|208 214|IGFBP-1
P07789971A0758|208 212|GSTT2
P10194451A0000|208 211|p210
P10679065A0711|209 241|CREB serine 133 phosphoacceptor motif
P11416012T0000|209 238|mitogen-activated protein kinase
P09098066A0119|209 236|cytadherence-regulatory locus
P08943354A0295|209 213|SHP-1
P07742363A0135|209 213|eIF-2
P09099745A1446|209 212|Cdk2
P09712037A0470|210 230|lymphocyte Ag receptors
P10727433A0560|210 223|protein kinase C
P09800187A0100|210 214|Trp53
P09535082A0537|210 212|Paf
P07585559A0000|210 212|ras
P11207308A0999|210 212|p38
P10942587A0981|211 227|anti-E7 antibodies
P10078876A0000|211 220|hemoglobin
P08441379A0912|211 218|IL-1 beta
P09111314A1243|211 218|cyclin D1
P09242375A1313|211 215|MEN2B
P09053494A0612|211 215|G-CSF
